"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","AZ","38060","Phoenix, AZ","27-4012","Broadcast Technicians",,310,19,0.181,1.2,39690,6.5,17850,27610,36570,51730,67370
"2011","AZ","38060","Phoenix, AZ","27-4014","Sound Engineering Technicians",,40,44.7,0.026,1.2,46050,11.8,19640,29410,37270,63800,73710
"2011","AZ","38060","Phoenix, AZ","27-4021","Photographers",,860,14.6,0.508,1.2,42270,11.3,18150,25790,37190,47320,62380
"2011","AZ","38060","Phoenix, AZ","27-4031","Camera Operators, Television, Video, and Motion Picture",,180,11.1,0.103,1.2,47970,6.5,32190,34860,40880,58800,78370
"2011","AZ","38060","Phoenix, AZ","27-4099","Media and Communication Equipment Workers, All Other",,80,18.6,0.05,1.2,67640,4.6,37690,46010,66550,79760,110740
"2011","AZ","46060","Tucson, AZ","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",4650,7.6,13.479,1.2,41710,3.2,19680,26760,37780,49740,68900
"2011","AZ","46060","Tucson, AZ","27-1011","Art Directors",,50,15.5,0.151,1.2,58090,4.5,35370,44870,57560,69900,82540
"2011","AZ","46060","Tucson, AZ","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,40,33.6,0.111,1.2,44640,4,32180,39160,43500,47640,64620
"2011","AZ","46060","Tucson, AZ","27-1014","Multimedia Artists and Animators",,90,47,0.249,1.2,47530,4.3,32780,35830,44680,56310,70000
"2011","AZ","46060","Tucson, AZ","27-1021","Commercial and Industrial Designers",,70,29.7,0.202,1.2,48370,7,26240,36590,45390,56740,78330
"2011","AZ","46060","Tucson, AZ","27-1023","Floral Designers",,70,27.6,0.21,1.2,25810,4.4,18060,21870,26200,29420,34140
"2011","AZ","46060","Tucson, AZ","27-1024","Graphic Designers",,490,11.8,1.426,1.2,39190,3.6,25260,30100,37760,45970,57770
"2011","AZ","46060","Tucson, AZ","27-1025","Interior Designers",,130,28.2,0.374,1.2,50750,6.1,32640,40830,49000,63140,71480
"2011","AZ","46060","Tucson, AZ","27-2012","Producers and Directors",,200,15.6,0.567,1.2,51320,4.3,27770,34700,46010,59220,84580
