"Region","year","Schools_With_Fine_Art_Programs","Number_of_Fine_Art_Classes","School_Year"
"Sacramento County",2000,132,1498,"1999-00"
"Sacramento County",1999,110,1312,"1998-99"
"Sacramento County",1998,109,1282,"1997-98"
"San Bernandino County",2011,184,2938,"2010-11"
"San Bernandino County",2009,171,2385,"2008-09"
"San Bernandino County",2008,165,2376,"2007-08"
"San Bernandino County",2007,149,2256,"2006-07"
"San Bernandino County",2006,150,2401,"2005-06"
"San Bernandino County",2005,149,2249,"2004-05"
"San Bernandino County",2004,144,2168,"2003-04"
"San Bernandino County",2003,163,2399,"2002-03"
"San Bernandino County",2002,164,2293,"2001-02"
"San Bernandino County",2001,162,2186,"2000-01"
"San Bernandino County",2000,175,2319,"1999-00"
"San Bernandino County",1999,164,2252,"1998-99"
"San Bernandino County",1998,159,2281,"1997-98"
"San Diego County",2011,246,3221,"2010-11"
"San Diego County",2009,243,3154,"2008-09"
"San Diego County",2008,237,3502,"2007-08"
"San Diego County",2007,215,3398,"2006-07"
"San Diego County",2006,208,3206,"2005-06"
"San Diego County",2005,199,2928,"2004-05"
"San Diego County",2004,180,2729,"2003-04"
"San Diego County",2003,195,3150,"2002-03"
"San Diego County",2002,196,2869,"2001-02"
"San Diego County",2001,191,2595,"2000-01"
"San Diego County",2000,228,2637,"1999-00"
"San Diego County",1999,221,2377,"1998-99"
"San Diego County",1998,215,2417,"1997-98"
"San Francisco County",2011,46,584,"2010-11"
"San Francisco County",2009,40,600,"2008-09"
"San Francisco County",2008,46,686,"2007-08"
"San Francisco County",2007,38,534,"2006-07"
"San Francisco County",2006,39,502,"2005-06"
"San Francisco County",2005,33,406,"2004-05"
"San Francisco County",2004,31,359,"2003-04"
"San Francisco County",2003,33,372,"2002-03"
"San Francisco County",2002,31,382,"2001-02"
"San Francisco County",2001,35,459,"2000-01"
"San Francisco County",2000,36,436,"1999-00"
"San Francisco County",1999,36,370,"1998-99"
"San Francisco County",1998,36,517,"1997-98"
"State of California",2011,3162,45400,"2010-11"
"State of California",2009,3242,41768,"2008-09"
"State of California",2008,3189,43110,"2007-08"
"State of California",2007,2952,41643,"2006-07"
"State of California",2006,2851,40215,"2005-06"
"State of California",2005,2806,40339,"2004-05"
"State of California",2004,2766,38996,"2003-04"
"State of California",2003,2930,41086,"2002-03"
"State of California",2002,2881,39797,"2001-02"
"State of California",2001,2903,39414,"2000-01"
"State of California",2000,3261,41721,"1999-00"
"State of California",1999,3108,40058,"1998-99"
"State of California",1998,3053,38672,"1997-98"
"Ventura County",2011,83,839,"2010-11"
"Ventura County",2009,75,816,"2008-09"
"Ventura County",2008,69,828,"2007-08"
"Ventura County",2007,64,794,"2006-07"
"Ventura County",2006,62,797,"2005-06"
"Ventura County",2005,60,783,"2004-05"
"Ventura County",2004,62,762,"2003-04"
"Ventura County",2003,62,748,"2002-03"
"Ventura County",2002,53,661,"2001-02"
"Ventura County",2001,57,649,"2000-01"
"Ventura County",2000,61,669,"1999-00"
"Ventura County",1999,61,665,"1998-99"
"Ventura County",1998,58,614,"1997-98"
