School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Los Angeles USD,1999,5751,Graphic communications,8,576,22,4.13,26.2,26.2,"Visual Comm, Graphics"
Los Angeles USD,2000,5751,Graphic communications,8,415,16,3.17,25.9,25.9,"Visual Comm, Graphics"
Los Angeles USD,2001,5751,Graphic communications,5,395,14,2.8,28.2,28.2,"Visual Comm, Graphics"
Los Angeles USD,2002,5751,Graphic communications,3,230,9,1.72,25.6,25.6,"Visual Comm, Graphics"
Los Angeles USD,2003,5751,Graphic communications,4,590,20,3.44,29.5,29.5,Drama/Theater Technology
Los Angeles USD,2004,5751,Graphic communications,2,169,5,0.85,33.8,33.8,"Visual Comm, Graphics"
Los Angeles USD,2005,5751,Graphic communications,1,22,1,0.17,22,22,"Visual Comm, Graphics"
Los Angeles USD,2006,5751,Graphic communications,1,62,2,0.32,31,31,"Visual Comm, Graphics"
Los Angeles USD,2008,5751,Graphic communications,5,252,10,1.86,25.2,25.2,"Arts, Media and Entertainment"
Los Angeles USD,2010,5751,Graphic communications,2,62,2,0.31,31,31,"Arts, Media and Entertainment"
Pasadena Unified,1997,5751,Graphic communications,2,240,7,1.4,34.3,34.3,"Visual Comm, Graphics"
Pasadena Unified,1998,5751,Graphic communications,2,215,6,1.12,35.8,35.8,"Visual Comm, Graphics"
Pasadena Unified,1999,5751,Graphic communications,3,219,10,2.2,21.9,21.9,"Visual Comm, Graphics"
Pasadena Unified,2000,5751,Graphic communications,3,232,11,2.15,21.1,21.1,"Visual Comm, Graphics"
Pasadena Unified,2001,5751,Graphic communications,2,140,6,1.08,23.3,23.3,"Visual Comm, Graphics"
Pasadena Unified,2002,5751,Graphic communications,2,250,9,1.7,27.8,27.8,"Visual Comm, Graphics"
Pasadena Unified,2003,5751,Graphic communications,1,107,1,0.8,0,107,"Visual Comm, Graphics"
Pasadena Unified,2005,5751,Graphic communications,1,147,7,1.4,21,21,"Visual Comm, Graphics"
Pasadena Unified,2006,5751,Graphic communications,1,97,9,1.8,10.8,10.8,"Visual Comm, Graphics"
Pasadena Unified,2008,5751,Graphic communications,1,70,4,0.8,17.5,17.5,"Arts, Media and Entertainment"
Pasadena Unified,2010,5751,Graphic communications,3,701,26,4.19,27,27,"Arts, Media and Entertainment"
Santa Monica-Malibu USD,1997,5751,Graphic communications,1,47,2,0.4,23.5,23.5,"Visual Comm, Graphics"
Santa Monica-Malibu USD,1998,5751,Graphic communications,1,50,2,0.4,25,25,"Visual Comm, Graphics"
Santa Monica-Malibu USD,1999,5751,Graphic communications,1,47,2,0.4,23.5,23.5,"Visual Comm, Graphics"
Santa Monica-Malibu USD,2000,5751,Graphic communications,1,41,2,0.4,20.5,20.5,"Visual Comm, Graphics"
Santa Monica-Malibu USD,2002,5751,Graphic communications,1,27,2,0.4,13.5,13.5,"Visual Comm, Graphics"
Beverly Hills USD,2002,2910,History/appreciation of drama/theater arts,1,26,1,0.2,26,26,Drama/Theater
Beverly Hills USD,2003,2910,History/appreciation of drama/theater arts,1,25,1,0.2,25,25,Drama/Theater
Beverly Hills USD,2004,2910,History/appreciation of drama/theater arts,1,47,2,0.4,23.5,23.5,Drama/Theater
Beverly Hills USD,2005,2910,History/appreciation of drama/theater arts,1,22,1,0.2,22,22,Drama/Theater
Beverly Hills USD,2006,2910,History/appreciation of drama/theater arts,1,27,1,0.2,27,27,Drama/Theater
La Canada Unified,2002,2910,History/appreciation of drama/theater arts,1,23,1,0.2,23,23,Drama/Theater
Long Beach Unified,2003,2910,History/appreciation of drama/theater arts,1,31,1,0.17,31,31,Drama/Theater
Long Beach Unified,2008,2910,History/appreciation of drama/theater arts,1,10,1,0.2,10,10,Drama/Theater
Los Angeles USD,2003,2910,History/appreciation of drama/theater arts,2,131,5,0.97,26.2,26.2,Drama/Theater
Los Angeles USD,2004,2910,History/appreciation of drama/theater arts,3,335,11,2.11,30.5,30.5,Drama/Theater
Los Angeles USD,2005,2910,History/appreciation of drama/theater arts,6,291,9,1.79,32.3,32.3,Drama/Theater
Los Angeles USD,2006,2910,History/appreciation of drama/theater arts,9,332,12,2.56,27.7,27.7,Drama/Theater
Los Angeles USD,2007,2910,History/appreciation of drama/theater arts,6,198,8,1.67,24.8,24.8,Drama/Theater
Los Angeles USD,2008,2910,History/appreciation of drama/theater arts,5,232,11,2.17,21.1,21.1,Drama/Theater
Pasadena Unified,2003,2910,History/appreciation of drama/theater arts,1,55,2,0.4,27.5,27.5,Drama/Theater
Pasadena Unified,2004,2910,History/appreciation of drama/theater arts,1,33,1,0.2,33,33,Drama/Theater
Pasadena Unified,2005,2910,History/appreciation of drama/theater arts,1,33,1,0.2,33,33,Drama/Theater
Pasadena Unified,2007,2910,History/appreciation of drama/theater arts,1,23,1,0.2,23,23,Drama/Theater
Pasadena Unified,2008,2910,History/appreciation of drama/theater arts,2,64,2,0.6,32,32,Drama/Theater
Santa Monica-Malibu USD,2001,2910,History/appreciation of drama/theater arts,1,19,1,0.2,19,19,Drama/Theater
Santa Monica-Malibu USD,2007,2910,History/appreciation of drama/theater arts,1,16,1,0.17,16,16,Drama/Theater
Santa Monica-Malibu USD,2008,2910,History/appreciation of drama/theater arts,1,8,1,0.16,8,8,Drama/Theater
Burbank Unified,2010,2910,History/appreciation of theatre/film/video/med,1,9,8,0.14,1.1,1.1,Drama/Theater
Los Angeles USD,2010,2910,History/appreciation of theatre/film/video/med,16,1170,37,8.04,29.7,31.6,Drama/Theater
Pasadena Unified,2010,2910,History/appreciation of theatre/film/video/med,2,69,2,0.34,34.5,34.5,Drama/Theater
Long Beach Unified,2007,2860,IB Art/Design,1,38,1,0.17,38,38,International Baccalaureate
Long Beach Unified,2008,2860,IB Art/Design,1,24,1,0.17,24,24,International Baccalaureate
Long Beach Unified,2010,2860,IB Art/design,1,16,1,0.2,16,16,International Baccalaureate
Long Beach Unified,2007,2960,IB Theater Arts,1,31,1,0.14,31,31,International Baccalaureate
Long Beach Unified,2008,2960,IB Theater Arts,1,32,1,0.2,32,32,International Baccalaureate
Los Angeles USD,2010,2960,IB Theater arts,1,43,2,0.34,21.5,21.5,International Baccalaureate
Long Beach Unified,2007,2768,IB Theory of knowledge,1,28,1,0.2,28,28,International Baccalaureate (Hum)
Long Beach Unified,2008,2768,IB Theory of knowledge,1,31,1,0.2,31,31,International Baccalaureate (Hum)
Long Beach Unified,2010,2768,IB Theory of knowledge,1,27,1,0.25,27,27,International Baccalaureate (Hum)
Pasadena Unified,2007,2768,IB Theory of knowledge,1,14,1,0.2,14,14,International Baccalaureate (Hum)
Pasadena Unified,2008,2768,IB Theory of knowledge,1,12,1,0.2,12,12,International Baccalaureate (Hum)
Pasadena Unified,2010,2768,IB Theory of knowledge,1,18,1,0.2,18,18,International Baccalaureate (Hum)
Beverly Hills USD,2003,2356,Independent or advanced study,1,28,1,0.2,28,28,Dance
Beverly Hills USD,2004,2356,Independent or advanced study,1,40,1,0.2,40,40,Dance
Burbank Unified,1999,2356,Independent or advanced study,1,34,1,0.2,34,34,Dance
Inglewood USD,2002,2356,Independent or advanced study,1,41,2,0.32,20.5,20.5,Dance
Long Beach Unified,1997,2356,Independent or advanced study,1,66,2,0.4,33,33,Dance
Long Beach Unified,1999,2356,Independent or advanced study,1,15,1,0.2,15,15,Dance
Beverly Hills USD,2007,2328,Instrumental ensemble,1,21,1,0.2,21,21,Music
Beverly Hills USD,2008,2328,Instrumental ensemble,1,18,1,0.2,18,18,Music
Burbank Unified,2007,2328,Instrumental ensemble,2,103,3,0.6,34.3,34.3,Music
Burbank Unified,2008,2328,Instrumental ensemble,2,101,3,0.6,33.7,33.7,Music
Burbank Unified,2010,2328,Instrumental ensemble,2,57,2,0.34,28.5,28.5,Music
Glendale Unified,2007,2328,Instrumental ensemble,1,44,2,0.4,22,22,Music
Glendale Unified,2010,2328,Instrumental ensemble,1,87,3,0.39,29,29,Music
Long Beach Unified,2007,2328,Instrumental ensemble,9,387,17,3.18,22.8,22.8,Music
Long Beach Unified,2008,2328,Instrumental ensemble,9,361,15,2.79,22.1,24.1,Music
Los Angeles USD,2007,2328,Instrumental ensemble,31,856,37,6.81,20.3,23.1,Music
Los Angeles USD,2008,2328,Instrumental ensemble,25,717,30,5.62,21.4,23.9,Music
Los Angeles USD,2010,2328,Instrumental ensemble,21,632,26,4.68,24.3,24.3,Music
Manhattan Beach USD,2007,2328,Instrumental ensemble,1,45,1,0.2,45,45,Music
Manhattan Beach USD,2008,2328,Instrumental ensemble,1,43,1,0.2,43,43,Music
Manhattan Beach USD,2010,2328,Instrumental ensemble,1,46,1,0.14,46,46,Music
Pasadena Unified,2007,2328,Instrumental ensemble,2,61,3,0.6,20.3,20.3,Music
Pasadena Unified,2008,2328,Instrumental ensemble,1,21,1,0.2,21,21,Music
Pasadena Unified,2010,2328,Instrumental ensemble,1,18,1,0.17,18,18,Music
Santa Monica-Malibu USD,2010,2328,Instrumental ensemble,1,17,1,0.2,17,17,Music
Beverly Hills USD,1997,2310,Instrumental music lessons,2,138,8,1.6,17.2,17.2,Music
Beverly Hills USD,1998,2310,Instrumental music lessons,1,24,1,0.2,24,24,Music
Beverly Hills USD,2000,2310,Instrumental music lessons,3,135,9,1.7,15,15,Music
Beverly Hills USD,2002,2310,Instrumental music lessons,1,20,1,0.2,20,20,Music
Beverly Hills USD,2003,2310,Instrumental music lessons,1,17,1,0.2,17,17,Music
Beverly Hills USD,2004,2310,Instrumental music lessons,1,68,2,0.4,34,34,Music
Beverly Hills USD,2005,2310,Instrumental music lessons,1,38,2,0.4,19,19,Music
Beverly Hills USD,2006,2310,Instrumental music lessons,1,20,1,0.2,20,20,Music
Burbank Unified,1997,2310,Instrumental music lessons,1,20,1,0.2,20,20,Music
Burbank Unified,2002,2310,Instrumental music lessons,1,68,2,0.4,34,34,Music
Burbank Unified,2003,2310,Instrumental music lessons,1,46,2,0.4,23,23,Music
Burbank Unified,2004,2310,Instrumental music lessons,2,92,3,0.6,30.7,30.7,Music
Burbank Unified,2005,2310,Instrumental music lessons,2,147,4,0.8,36.8,36.8,Music
Burbank Unified,2006,2310,Instrumental music lessons,1,47,2,0.4,23.5,23.5,Music
Glendale Unified,1997,2310,Instrumental music lessons,3,270,14,2.8,19.3,19.3,Music
Glendale Unified,1998,2310,Instrumental music lessons,3,331,14,2.8,23.6,23.6,Music
Glendale Unified,1999,2310,Instrumental music lessons,4,335,13,2.6,25.8,25.8,Music
Glendale Unified,2000,2310,Instrumental music lessons,4,457,17,3.4,21.9,26.9,Music
Glendale Unified,2001,2310,Instrumental music lessons,5,387,19,3.8,20.4,20.4,Music
Inglewood USD,1997,2310,Instrumental music lessons,1,27,1,0.2,27,27,Music
Inglewood USD,1998,2310,Instrumental music lessons,2,157,5,0.96,31.4,31.4,Music
Inglewood USD,1999,2310,Instrumental music lessons,2,183,7,1.31,26.1,26.1,Music
Inglewood USD,2000,2310,Instrumental music lessons,2,230,7,1.34,32.9,32.9,Music
Inglewood USD,2001,2310,Instrumental music lessons,2,88,4,0.8,22,22,Music
Inglewood USD,2002,2310,Instrumental music lessons,2,59,3,0.6,19.7,19.7,Music
Inglewood USD,2003,2310,Instrumental music lessons,1,75,2,0.4,37.5,37.5,Music
Inglewood USD,2004,2310,Instrumental music lessons,2,94,3,0.6,31.3,31.3,Music
Inglewood USD,2005,2310,Instrumental music lessons,3,143,5,1,28.6,28.6,Music
Inglewood USD,2006,2310,Instrumental music lessons,3,161,5,1,32.2,32.2,Music
Long Beach Unified,1997,2310,Instrumental music lessons,9,529,16,3.78,28.6,33.1,Music
Long Beach Unified,1998,2310,Instrumental music lessons,10,1209,19,6.88,32.5,63.6,Music
Long Beach Unified,1999,2310,Instrumental music lessons,9,1750,33,11.91,30.4,53,Music
Long Beach Unified,2000,2310,Instrumental music lessons,9,809,27,4.84,27.9,30,Music
Long Beach Unified,2001,2310,Instrumental music lessons,7,623,19,4.26,32.8,32.8,Music
Long Beach Unified,2002,2310,Instrumental music lessons,8,718,27,4.84,26.6,26.6,Music
Long Beach Unified,2003,2310,Instrumental music lessons,5,694,23,4.17,30.2,30.2,Music
Long Beach Unified,2004,2310,Instrumental music lessons,7,851,33,5.71,25.8,25.8,Music
Long Beach Unified,2005,2310,Instrumental music lessons,7,909,32,5.91,28.4,28.4,Music
Long Beach Unified,2006,2310,Instrumental music lessons,7,840,29,5.1,29,29,Music
Los Angeles USD,1997,2310,Instrumental music lessons,104,9642,326,62.72,28.4,29.6,Music
Los Angeles USD,1998,2310,Instrumental music lessons,104,10238,342,65.86,28.3,29.9,Music
Los Angeles USD,1999,2310,Instrumental music lessons,107,10274,345,66.24,28.5,29.8,Music
Los Angeles USD,2000,2310,Instrumental music lessons,106,10835,365,69.69,28.7,29.7,Music
Los Angeles USD,2001,2310,Instrumental music lessons,107,10519,358,67.84,28.5,29.4,Music
Los Angeles USD,2002,2310,Instrumental music lessons,107,11771,378,72.25,30.2,31.1,Music
Los Angeles USD,2003,2310,Instrumental music lessons,107,11314,369,69.73,29.6,30.7,Music
Los Angeles USD,2004,2310,Instrumental music lessons,107,11642,378,72.42,29.2,30.8,Music
Los Angeles USD,2005,2310,Instrumental music lessons,112,12010,388,76.94,29.7,31,Music
Los Angeles USD,2006,2310,Instrumental music lessons,117,12461,391,76.32,30.3,31.9,Music
Manhattan Beach USD,1998,2310,Instrumental music lessons,1,728,5,1,0,145.6,Music
Manhattan Beach USD,1999,2310,Instrumental music lessons,2,454,9,1.9,18.1,50.4,Music
Manhattan Beach USD,2000,2310,Instrumental music lessons,2,426,6,1.8,34.8,71,Music
Manhattan Beach USD,2001,2310,Instrumental music lessons,2,966,8,1.8,28,120.8,Music
Manhattan Beach USD,2002,2310,Instrumental music lessons,1,89,3,0.6,29.7,29.7,Music
Manhattan Beach USD,2003,2310,Instrumental music lessons,2,119,4,0.8,29.8,29.8,Music
Manhattan Beach USD,2004,2310,Instrumental music lessons,1,17,1,0.19,17,17,Music
Manhattan Beach USD,2005,2310,Instrumental music lessons,3,378,3,1.36,30,126,Music
Manhattan Beach USD,2006,2310,Instrumental music lessons,2,882,6,1.17,16,147,Music
Pasadena Unified,1997,2310,Instrumental music lessons,7,1022,11,3.2,25.2,92.9,Music
Pasadena Unified,1998,2310,Instrumental music lessons,4,942,12,2.54,20,78.5,Music
Pasadena Unified,1999,2310,Instrumental music lessons,4,731,8,1.9,26.5,91.4,Music
Pasadena Unified,2000,2310,Instrumental music lessons,3,463,3,0.89,20,154.3,Music
Pasadena Unified,2001,2310,Instrumental music lessons,4,567,5,3.3,24.5,113.4,Music
Pasadena Unified,2002,2310,Instrumental music lessons,4,197,4,2.4,14,49.2,Music
Pasadena Unified,2003,2310,Instrumental music lessons,4,115,5,1.65,7.8,23,Music
Pasadena Unified,2005,2310,Instrumental music lessons,1,18,1,0.2,18,18,Music
Pasadena Unified,2006,2310,Instrumental music lessons,1,14,1,0.2,14,14,Music
Santa Monica-Malibu USD,1997,2310,Instrumental music lessons,2,485,29,4.22,16.7,16.7,Music
Santa Monica-Malibu USD,1998,2310,Instrumental music lessons,3,483,17,3.43,20.1,28.4,Music
Santa Monica-Malibu USD,1999,2310,Instrumental music lessons,3,582,22,3.64,20.2,26.5,Music
Santa Monica-Malibu USD,2000,2310,Instrumental music lessons,5,604,19,4.48,23.5,31.8,Music
Santa Monica-Malibu USD,2001,2310,Instrumental music lessons,4,413,13,2.56,26,31.8,Music
Santa Monica-Malibu USD,2002,2310,Instrumental music lessons,2,297,12,2.5,21.6,24.8,Music
Santa Monica-Malibu USD,2003,2310,Instrumental music lessons,3,553,21,3.7,20.4,26.3,Music
Santa Monica-Malibu USD,2004,2310,Instrumental music lessons,3,319,12,2.94,23.1,26.6,Music
Santa Monica-Malibu USD,2005,2310,Instrumental music lessons,3,1340,32,6.94,22.9,41.9,Music
Santa Monica-Malibu USD,2006,2310,Instrumental music lessons,3,217,7,1.28,27.7,31,Music
Los Angeles USD,2010,2324,Instrumental music lessons (elem school std),1,34,1,0.2,34,34,Music
Beverly Hills USD,2007,2324,Instrumental music lessons (elementary school s,1,27,1,0.2,27,27,Music
Beverly Hills USD,2008,2324,Instrumental music lessons (elementary school s,1,29,1,0.2,29,29,Music
Long Beach Unified,2007,2324,Instrumental music lessons (elementary school s,2,103,4,0.8,25.8,25.8,Music
Long Beach Unified,2008,2324,Instrumental music lessons (elementary school s,2,77,3,0.6,25.7,25.7,Music
Pasadena Unified,2007,2324,Instrumental music lessons (elementary school s,2,60,2,1.2,30,30,Music
Pasadena Unified,2008,2324,Instrumental music lessons (elementary school s,1,67,3,1,22.3,22.3,Music
Santa Monica-Malibu USD,2007,2324,Instrumental music lessons (elementary school s,1,26,1,0.2,26,26,Music
Beverly Hills USD,2010,2325,Instrumental music lessons (sec school std),1,20,1,0.2,20,20,Music
Burbank Unified,2010,2325,Instrumental music lessons (sec school std),2,89,3,0.57,29.7,29.7,Music
Long Beach Unified,2010,2325,Instrumental music lessons (sec school std),9,1057,39,6.69,27.1,27.1,Music
Los Angeles USD,2010,2325,Instrumental music lessons (sec school std),130,14860,438,84.81,30.1,33.9,Music
Santa Monica-Malibu USD,2010,2325,Instrumental music lessons (sec school std),3,135,8,1.45,16.9,16.9,Music
Inglewood USD,2007,2325,Instrumental music lessons (secondary school st,2,172,5,0.92,34.4,34.4,Music
Inglewood USD,2008,2325,Instrumental music lessons (secondary school st,1,47,3,0.6,15.7,15.7,Music
Long Beach Unified,2007,2325,Instrumental music lessons (secondary school st,7,912,33,5.85,27.6,27.6,Music
Long Beach Unified,2008,2325,Instrumental music lessons (secondary school st,8,1019,37,6.54,27.5,27.5,Music
Los Angeles USD,2007,2325,Instrumental music lessons (secondary school st,126,12794,417,84,29.4,30.7,Music
Los Angeles USD,2008,2325,Instrumental music lessons (secondary school st,127,13119,408,81.42,30.9,32.2,Music
Pasadena Unified,2007,2325,Instrumental music lessons (secondary school st,1,6,1,0.1,6,6,Music
Santa Monica-Malibu USD,2007,2325,Instrumental music lessons (secondary school st,2,122,4,0.8,30.5,30.5,Music
Santa Monica-Malibu USD,2008,2325,Instrumental music lessons (secondary school st,2,75,3,0.59,25,25,Music
Los Angeles USD,2008,5712,Internet publishing,11,876,26,6.01,33.7,33.7,"Arts, Media and Entertainment"
Long Beach Unified,2005,2860,Intl bacc Art/design,1,15,1,0.2,15,15,International Baccalaureate
Long Beach Unified,2006,2860,Intl bacc Art/design,1,24,1,0.2,24,24,International Baccalaureate
Pasadena Unified,2001,2860,Intl bacc Art/design,1,34,1,0.2,34,34,International Baccalaureate
Pasadena Unified,2002,2860,Intl bacc Art/design,1,326,12,2.4,27.2,27.2,International Baccalaureate
Pasadena Unified,2003,2860,Intl bacc Art/design,1,335,13,2.6,25.8,25.8,International Baccalaureate
Long Beach Unified,1998,2360,Intl bacc Music,1,200,1,1,0,200,International Baccalaureate
Pasadena Unified,2002,2360,Intl bacc Music,2,54,2,0.4,27,27,International Baccalaureate
Pasadena Unified,2003,2360,Intl bacc Music,1,19,1,0.2,19,19,International Baccalaureate
Pasadena Unified,2006,2360,Intl bacc Music,1,22,1,0.2,22,22,International Baccalaureate
Beverly Hills USD,2001,2960,Intl bacc Theater arts,1,30,1,0.2,30,30,International Baccalaureate
Inglewood USD,2000,2960,Intl bacc Theater arts,1,61,2,0.4,30.5,30.5,Interntational Baccalaureate
Long Beach Unified,1999,2960,Intl bacc Theater arts,1,12,1,0.2,12,12,International Baccalaureate
Long Beach Unified,2005,2960,Intl bacc Theater arts,1,46,1,0.2,46,46,International Baccalaureate
Long Beach Unified,2006,2960,Intl bacc Theater arts,1,26,1,0.25,26,26,International Baccalaureate
Pasadena Unified,2001,2960,Intl bacc Theater arts,1,23,1,0.2,23,23,International Baccalaureate
Santa Monica-Malibu USD,2003,2960,Intl bacc Theater arts,1,118,5,1,23.6,23.6,International Baccalaureate
Santa Monica-Malibu USD,2004,2960,Intl bacc Theater arts,1,111,5,1,22.2,22.2,International Baccalaureate
Long Beach Unified,1998,2768,Intl bacc Theory of knowledge,1,84,1,0.25,0,84,International Baccalaureate (Hum)
Long Beach Unified,1999,2768,Intl bacc Theory of knowledge,1,22,1,0.2,22,22,International Baccalaureate (Hum)
Long Beach Unified,2000,2768,Intl bacc Theory of knowledge,1,21,1,0.2,21,21,International Baccalaureate (Hum)
Long Beach Unified,2001,2768,Intl bacc Theory of knowledge,1,25,1,0.2,25,25,International Baccalaureate (Hum)
Long Beach Unified,2002,2768,Intl bacc Theory of knowledge,1,19,1,0.5,19,19,International Baccalaureate (Hum)
Long Beach Unified,2003,2768,Intl bacc Theory of knowledge,1,22,1,0.33,22,22,International Baccalaureate (Hum)
Long Beach Unified,2005,2768,Intl bacc Theory of knowledge,1,23,1,0.2,23,23,International Baccalaureate (Hum)
Long Beach Unified,2006,2768,Intl bacc Theory of knowledge,1,34,1,0.2,34,34,International Baccalaureate (Hum)
Pasadena Unified,2006,2768,Intl bacc Theory of knowledge,1,9,1,0.2,9,9,International Baccalaureate (Hum)
Beverly Hills USD,1997,2301,Jazz band,1,12,1,0.2,12,12,Music
Beverly Hills USD,1998,2301,Jazz band,1,7,1,0.2,7,7,Music
Beverly Hills USD,1999,2301,Jazz band,1,38,2,0.4,19,19,Music
Beverly Hills USD,2000,2301,Jazz band,1,19,1,0.2,19,19,Music
Beverly Hills USD,2001,2301,Jazz band,1,51,2,0.4,25.5,25.5,Music
Burbank Unified,1999,2301,Jazz band,1,32,1,0.2,32,32,Music
Burbank Unified,2000,2301,Jazz band,1,21,1,0.2,21,21,Music
Burbank Unified,2001,2301,Jazz band,1,13,1,0.2,13,13,Music
Burbank Unified,2002,2301,Jazz band,2,39,2,0.4,19.5,19.5,Music
Burbank Unified,2003,2301,Jazz band,1,8,1,0.2,8,8,Music
Burbank Unified,2004,2301,Jazz band,2,67,2,0.4,9,33.5,Music
Glendale Unified,1997,2301,Jazz band,1,21,1,0.2,21,21,Music
Glendale Unified,1998,2301,Jazz band,1,15,1,0.2,15,15,Music
Glendale Unified,1999,2301,Jazz band,1,15,1,0.2,15,15,Music
Glendale Unified,2000,2301,Jazz band,1,25,1,0.2,25,25,Music
Glendale Unified,2001,2301,Jazz band,1,25,1,0.2,25,25,Music
Glendale Unified,2002,2301,Jazz band,1,24,1,0.2,24,24,Music
Glendale Unified,2003,2301,Jazz band,1,23,1,0.2,23,23,Music
Glendale Unified,2004,2301,Jazz band,1,25,1,0.2,25,25,Music
Glendale Unified,2005,2301,Jazz band,1,19,1,0.2,19,19,Music
Inglewood USD,1997,2301,Jazz band,2,25,2,0.4,12.5,12.5,Music
Inglewood USD,1998,2301,Jazz band,1,17,1,0.2,17,17,Music
Inglewood USD,2000,2301,Jazz band,1,10,1,0.2,10,10,Music
Inglewood USD,2001,2301,Jazz band,2,59,3,0.59,19.7,19.7,Music
Inglewood USD,2003,2301,Jazz band,1,27,1,0.2,27,27,Music
Inglewood USD,2004,2301,Jazz band,1,26,1,0.2,26,26,Music
Inglewood USD,2005,2301,Jazz band,1,43,1,0.2,43,43,Music
Long Beach Unified,1997,2301,Jazz band,5,193,8,1.47,17.3,24.1,Music
Long Beach Unified,1998,2301,Jazz band,5,122,7,1.27,17.4,17.4,Music
Long Beach Unified,1999,2301,Jazz band,4,177,7,1.23,25.3,25.3,Music
Long Beach Unified,2000,2301,Jazz band,5,238,10,1.83,23.8,23.8,Music
Long Beach Unified,2001,2301,Jazz band,4,169,7,1.34,24.1,24.1,Music
Long Beach Unified,2002,2301,Jazz band,3,146,6,1.1,24.3,24.3,Music
Long Beach Unified,2003,2301,Jazz band,6,205,10,1.77,20.5,20.5,Music
Long Beach Unified,2004,2301,Jazz band,5,216,9,1.61,24,24,Music
Long Beach Unified,2005,2301,Jazz band,7,286,11,1.98,26,26,Music
Los Angeles USD,1997,2301,Jazz band,24,498,27,5.11,18.4,18.4,Music
Los Angeles USD,1998,2301,Jazz band,24,511,30,5.59,17,17,Music
Los Angeles USD,1999,2301,Jazz band,22,419,26,4.95,16.1,16.1,Music
Los Angeles USD,2000,2301,Jazz band,20,402,23,4.32,17.5,17.5,Music
Los Angeles USD,2001,2301,Jazz band,21,451,24,4.33,18.8,18.8,Music
Los Angeles USD,2002,2301,Jazz band,22,466,26,4.7,17.9,17.9,Music
Los Angeles USD,2003,2301,Jazz band,24,543,28,4.85,19.4,19.4,Music
Los Angeles USD,2004,2301,Jazz band,22,595,27,4.8,22,22,Music
Los Angeles USD,2005,2301,Jazz band,26,639,30,5.52,21.3,21.3,Music
Manhattan Beach USD,2003,2301,Jazz band,1,26,1,0.2,26,26,Music
Manhattan Beach USD,2004,2301,Jazz band,1,15,1,0.2,15,15,Music
Manhattan Beach USD,2005,2301,Jazz band,1,20,1,0.2,20,20,Music
Pasadena Unified,2000,2301,Jazz band,1,28,1,0.18,28,28,Music
Pasadena Unified,2001,2301,Jazz band,1,20,1,0.17,20,20,Music
Pasadena Unified,2002,2301,Jazz band,1,18,1,0.2,18,18,Music
Pasadena Unified,2003,2301,Jazz band,2,58,2,0.3,29,29,Music
Pasadena Unified,2004,2301,Jazz band,2,40,2,0.4,20,20,Music
Pasadena Unified,2005,2301,Jazz band,1,11,1,0.2,11,11,Music
Santa Monica-Malibu USD,2000,2301,Jazz band,2,39,2,0.4,19.5,19.5,Music
Santa Monica-Malibu USD,2001,2301,Jazz band,2,38,2,0.4,19,19,Music
Santa Monica-Malibu USD,2002,2301,Jazz band,1,23,1,0.2,23,23,Music
Santa Monica-Malibu USD,2003,2301,Jazz band,2,70,2,0.4,35,35,Music
Santa Monica-Malibu USD,2004,2301,Jazz band,1,20,1,0.2,20,20,Music
Santa Monica-Malibu USD,2005,2301,Jazz band,1,28,1,0.2,28,28,Music
Glendale Unified,2006,2317,Jazz/Stage band,1,22,1,0.2,22,22,Music
Inglewood USD,2006,2317,Jazz/Stage band,1,51,2,0.4,25.5,25.5,Music
Long Beach Unified,2006,2317,Jazz/Stage band,8,332,13,2.42,25.5,25.5,Music
Los Angeles USD,2006,2317,Jazz/Stage band,26,688,30,5.38,21.2,22.9,Music
Pasadena Unified,2006,2317,Jazz/Stage band,1,28,1,0.2,28,28,Music
Santa Monica-Malibu USD,2006,2317,Jazz/Stage band,1,28,1,0.2,28,28,Music
Glendale Unified,2006,2811,Jewelry,1,181,5,1,36.2,36.2,Art
Glendale Unified,2007,2811,Jewelry,1,191,5,1,38.2,38.2,Art
Glendale Unified,2008,2811,Jewelry,1,69,2,0.4,34.5,34.5,Art
Long Beach Unified,1997,2811,Jewelry,1,25,1,0.16,25,25,Art
Long Beach Unified,1998,2811,Jewelry,1,23,1,0.16,23,23,Art
Long Beach Unified,1999,2811,Jewelry,1,34,1,0.2,34,34,Art
Los Angeles USD,1997,2811,Jewelry,6,194,7,1.37,27.7,27.7,Art
Los Angeles USD,1998,2811,Jewelry,8,400,13,2.57,30.8,30.8,Art
Los Angeles USD,1999,2811,Jewelry,8,276,10,1.88,27.6,27.6,Art
Los Angeles USD,2000,2811,Jewelry,7,236,8,1.51,29.5,29.5,Art
Los Angeles USD,2001,2811,Jewelry,6,186,7,1.28,26.6,26.6,Art
Los Angeles USD,2002,2811,Jewelry,5,238,8,1.57,29.8,29.8,Art
Los Angeles USD,2003,2811,Jewelry,4,164,6,1.13,27.3,27.3,Art
Los Angeles USD,2004,2811,Jewelry,4,263,8,1.43,32.9,32.9,Art
Los Angeles USD,2005,2811,Jewelry,3,170,6,1.2,28.3,28.3,Art
Los Angeles USD,2006,2811,Jewelry,3,122,4,0.8,30.5,30.5,Art
Los Angeles USD,2007,2811,Jewelry,3,140,4,0.82,35,35,Art
