School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Santa Monica-Malibu USD,1997,2871,Advanced placement Studio art gen. portfolio,2,41,2,0.4,20.5,20.5,Art AP
Santa Monica-Malibu USD,1998,2871,Advanced placement Studio art gen. portfolio,2,40,2,0.4,20,20,Art AP
Santa Monica-Malibu USD,1999,2871,Advanced placement Studio art gen. portfolio,1,13,1,0.2,13,13,Art AP
Santa Monica-Malibu USD,2000,2871,Advanced placement Studio art gen. portfolio,2,38,2,0.4,19,19,Art AP
Santa Monica-Malibu USD,2001,2871,Advanced placement Studio art gen. portfolio,2,61,3,0.6,20.3,20.3,Art AP
Santa Monica-Malibu USD,2002,2871,Advanced placement Studio art gen. portfolio,1,33,2,0.4,16.5,16.5,Art AP
Santa Monica-Malibu USD,2003,2871,Advanced placement Studio art gen. portfolio,2,49,3,0.6,16.3,16.3,Art AP
Santa Monica-Malibu USD,2004,2871,Advanced placement Studio art gen. portfolio,1,48,2,0.4,24,24,Art AP
Santa Monica-Malibu USD,2005,2871,Advanced placement Studio art gen. portfolio,2,64,3,0.6,21.3,21.3,Art AP
Beverly Hills USD,2008,2904,Advanced Theater,1,53,2,0.4,26.5,26.5,Drama/Theater
Beverly Hills USD,2010,2904,Advanced Theater,1,102,2,0.4,0,51,Drama/Theater
Glendale Unified,2010,2904,Advanced Theater,1,26,1,0.13,26,26,Drama/Theater
La Canada Unified,2007,2904,Advanced Theater,1,34,1,0.18,34,34,Drama/Theater
La Canada Unified,2008,2904,Advanced Theater,1,22,1,0.18,22,22,Drama/Theater
La Canada Unified,2010,2904,Advanced Theater,1,23,1,0.2,23,23,Drama/Theater
Long Beach Unified,2007,2904,Advanced Theater,1,86,3,0.49,28.7,28.7,Drama/Theater
Los Angeles USD,2007,2904,Advanced Theater,20,862,27,5.47,28.8,31.9,Drama/Theater
Los Angeles USD,2008,2904,Advanced Theater,18,866,32,7.34,25.5,27.1,Drama/Theater
Los Angeles USD,2010,2904,Advanced Theater,64,4687,138,28.55,33.1,34,Drama/Theater
Manhattan Beach USD,2007,2904,Advanced Theater,1,29,1,0.2,29,29,Drama/Theater
Manhattan Beach USD,2008,2904,Advanced Theater,1,37,1,0.2,37,37,Drama/Theater
Manhattan Beach USD,2010,2904,Advanced Theater,1,45,2,0.5,22.5,22.5,Drama/Theater
Long Beach Unified,1997,2808,Advertising design,2,53,3,0.53,17.7,17.7,Art
Long Beach Unified,1998,2808,Advertising design,1,37,1,0.2,37,37,Art
Long Beach Unified,2000,2808,Advertising design,1,33,1,0.17,33,33,Art
Long Beach Unified,2001,2808,Advertising design,1,31,1,0.2,31,31,Art
Los Angeles USD,2003,2808,Advertising design,12,1022,31,5.51,33,33,Art
Los Angeles USD,2004,2808,Advertising design,11,739,23,4.13,32.1,32.1,Art
Los Angeles USD,2005,2808,Advertising design,9,575,17,3.17,33.8,33.8,Art
Los Angeles USD,2006,2808,Advertising design,8,489,16,3.08,30.6,30.6,Art
Los Angeles USD,2007,2808,Advertising design,9,578,17,3.58,34,34,Art
Los Angeles USD,2008,2808,Advertising design,9,527,15,3.26,35.1,35.1,Art
Los Angeles USD,2010,2808,Advertising design,8,393,12,2.26,32.8,32.8,Art
Pasadena Unified,2001,2808,Advertising design,1,38,1,0.2,38,38,Art
Pasadena Unified,2007,2808,Advertising design,1,19,1,0.2,19,19,Art
Santa Monica-Malibu USD,1997,2808,Advertising design,1,22,1,0.2,22,22,Art
Santa Monica-Malibu USD,2001,2808,Advertising design,1,47,2,0.4,23.5,23.5,Art
Burbank Unified,2010,5702,Animation,1,70,2,0.4,35,35,"Arts, Media and Entertainment"
Los Angeles USD,2008,5702,Animation,23,1450,47,8.67,30.9,30.9,"Arts, Media and Entertainment"
Pasadena Unified,2010,5702,Animation,3,311,12,2.04,25.9,25.9,"Arts, Media and Entertainment"
Beverly Hills USD,1997,2748,Any humanities course,2,70,3,0.6,23.3,23.3,Humanities
Beverly Hills USD,1998,2748,Any humanities course,1,10,1,0.2,10,10,Humanities
Beverly Hills USD,1999,2748,Any humanities course,2,42,2,0.37,21,21,Humanities
Beverly Hills USD,2000,2748,Any humanities course,1,9,1,0.2,9,9,Humanities
Beverly Hills USD,2001,2748,Any humanities course,2,35,2,0.4,17.5,17.5,Humanities
Beverly Hills USD,2002,2748,Any humanities course,1,9,1,0.2,9,9,Humanities
Beverly Hills USD,2003,2748,Any humanities course,1,18,1,0.2,18,18,Humanities
Beverly Hills USD,2004,2748,Any humanities course,1,8,1,0.2,8,8,Humanities
Beverly Hills USD,2005,2748,Any humanities course,1,13,1,0.2,13,13,Humanities
Beverly Hills USD,2006,2748,Any humanities course,1,45,2,0.4,22.5,22.5,Humanities
Beverly Hills USD,2007,2748,Any humanities course,1,33,2,0.4,16.5,16.5,Humanities
Beverly Hills USD,2008,2748,Any humanities course,1,52,2,0.4,26,26,Humanities
Beverly Hills USD,2010,2748,Any humanities course,1,46,2,0.37,23,23,Humanities
Inglewood USD,1997,2748,Any humanities course,2,61,2,0.27,30.5,30.5,Humanities
Inglewood USD,2000,2748,Any humanities course,1,32,1,0.2,32,32,Humanities
Long Beach Unified,1997,2748,Any humanities course,1,337,11,3.92,30.6,30.6,Humanities
Long Beach Unified,1998,2748,Any humanities course,1,338,10,3.67,33.8,33.8,Humanities
Long Beach Unified,2002,2748,Any humanities course,1,56,2,0.33,28,28,Humanities
Long Beach Unified,2003,2748,Any humanities course,1,20,2,0.28,10,10,Humanities
Long Beach Unified,2010,2748,Any humanities course,1,157,6,0.84,26.2,26.2,Humanities
Los Angeles USD,1997,2748,Any humanities course,36,4776,89,26.88,30.8,53.7,Humanities
Los Angeles USD,1998,2748,Any humanities course,50,9777,117,41.26,30.1,83.6,Humanities
Los Angeles USD,1999,2748,Any humanities course,37,6114,108,38.05,27.6,56.6,Humanities
Los Angeles USD,2000,2748,Any humanities course,21,1908,80,14.9,23.2,23.8,Humanities
Los Angeles USD,2001,2748,Any humanities course,14,1988,74,14.03,26.5,26.9,Humanities
Los Angeles USD,2002,2748,Any humanities course,21,1640,68,12.86,24.1,24.1,Humanities
Los Angeles USD,2003,2748,Any humanities course,22,2393,94,19.17,25.2,25.5,Humanities
Los Angeles USD,2004,2748,Any humanities course,28,3102,129,25.15,24,24,Humanities
Los Angeles USD,2005,2748,Any humanities course,43,5328,205,39.47,26,26,Humanities
Los Angeles USD,2006,2748,Any humanities course,36,4161,169,32.8,24.4,24.6,Humanities
Los Angeles USD,2007,2748,Any humanities course,33,3211,134,29.8,24,24,Humanities
Los Angeles USD,2008,2748,Any humanities course,37,4096,176,36.2,23.3,23.3,Humanities
Los Angeles USD,2010,2748,Any humanities course,43,6142,214,55.45,23.9,28.7,Humanities
Manhattan Beach USD,1998,2748,Any humanities course,1,391,13,5.95,30.1,30.1,Humanities
