School_District,Year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Burbank Unified,2008,2328,Instrumental ensemble,2,103,3,0.6,34.3,34.3,Music
Burbank Unified,2008,2370,AP Music theory,2,36,2,0.4,18,18,Music AP
Burbank Unified,2008,5716,Video production,2,225,7,1.4,32.1,32.1,"Arts, Media and Entertainment"
Burbank Unified,2008,5757,Desktop publishing,1,27,1,0.2,27,27,"Arts, Media and Entertainment"
Burbank Unified,2008,4331,Fashion textiles and apparel,1,29,1,0.2,29,29,Fashion/Home Eco
Burbank Unified,2009,2824,"Secondary arts-art, music, dance, drama (thro",1,23,5,4.41,11.5,4.6,Independent Study
Burbank Unified,2009,3016,"SE Secondary arts (art, music, dance, drama)",2,17,4,0.9,4.2,4.2,Special Education
Burbank Unified,2009,2380,STAE Music,1,0,2,2,0,0,Supporting Teaching
Burbank Unified,2009,2803,Art history,1,34,1,0.2,34,34,Art
Burbank Unified,2009,2805,Photography,2,349,12,2.4,29.1,29.1,Art
Burbank Unified,2009,2822,Fundamentals of art (elem),1,62,2,0.4,31,31,Art
Burbank Unified,2009,2823,Fundamentals of Art (sec),2,532,17,3.4,31.3,31.3,Art
Burbank Unified,2009,2898,Other art course,5,874,31,6,28.2,28.2,Art
Burbank Unified,2009,2900,Theater/play production (sec schl standards),2,177,7,1.4,25.3,25.3,Drama/Theater
Burbank Unified,2009,2901,Theater/creative dramatics (elem schl standards,1,90,4,0.8,22.5,22.5,Drama/Theater
Burbank Unified,2009,2300,Band,5,568,18,3.2,31.6,31.6,Music
Burbank Unified,2009,2303,Orchestra/symphony,2,125,4,0.8,31.2,31.2,Music
Burbank Unified,2009,2305,Chorus/choir,5,1005,23,4.6,37.3,43.7,Music
Burbank Unified,2009,2307,Music appreciation/history/literature,1,35,1,0.2,35,35,Music
Burbank Unified,2009,2322,Musical theater,2,47,2,0.4,23.5,23.5,Music
Burbank Unified,2009,2328,Instrumental ensemble,2,101,3,0.6,33.7,33.7,Music
Burbank Unified,2009,2370,AP Music theory,2,36,2,0.4,18,18,Music AP
Burbank Unified,2009,5715,Filmmaking,1,34,1,0.2,34,34,"Arts, Media and Entertainment"
Burbank Unified,2009,5716,Video production,2,189,6,1.2,31.5,31.5,"Arts, Media and Entertainment"
Burbank Unified,2009,5731,Broadcast production,1,9,1,0.2,9,9,"Arts, Media and Entertainment"
Burbank Unified,2009,5757,Desktop publishing,1,27,1,0.2,27,27,"Arts, Media and Entertainment"
Burbank Unified,2009,4331,Fashion textiles and apparel,1,26,1,0.2,26,26,Fashion/Home Eco
Burbank Unified,2011,2800,Ceramics (beginning and advanced),1,32,1,0.2,32,32,Art
Burbank Unified,2011,2801,Design,1,23,1,0.2,23,23,Art
Burbank Unified,2011,2802,Crafts,1,32,20,0.49,1.6,1.6,Art
Burbank Unified,2011,2803,Art history,2,83,33,0.97,2.5,2.5,Art
Burbank Unified,2011,2805,Photography (beginning or advanced),1,2,2,0.03,1,1,Art
Burbank Unified,2011,2806,Drawing,1,90,54,1.39,1.7,1.7,Art
Burbank Unified,2011,2812,Sculpture,1,105,3,0.6,35,35,Art
Burbank Unified,2011,2816,Art appreciation (secondary school standards),2,206,7,1.4,29.4,29.4,Art
Burbank Unified,2011,2820,Digital art/computer art/artistic graphics,1,32,1,0.2,32,32,Art
Burbank Unified,2011,2823,Fundamentals of art (secondary school standards),4,867,31,5.77,28,28,Art
Burbank Unified,2011,2898,Other art course,5,245,30,1.96,8.2,8.2,Art
Burbank Unified,2011,2352,Dance choreography and production,2,58,2,0.4,29,29,Dance
Burbank Unified,2011,2900,Theatre /play production (sec sch standards),1,21,1,0.2,21,21,Drama/Theater
Burbank Unified,2011,2905,Technical theater/stagecraft,2,25,2,0.37,12.5,12.5,Drama/Theater
Burbank Unified,2011,2910,History/appreciation of theatre/film/video/med,1,9,8,0.14,1.1,1.1,Drama/Theater
Burbank Unified,2011,2998,Other drama/theater course,2,80,6,0.66,13.3,13.3,Drama/Theater
Burbank Unified,2011,2300,Band,5,710,20,3.81,31.1,35.5,Music
Burbank Unified,2011,2303,Orchestra/symphony,1,12,1,0.17,12,12,Music
Burbank Unified,2011,2305,Chorus/choir/vocal ensemble,5,1091,23,4.48,40.4,47.4,Music
Burbank Unified,2011,2307,Music appreciation/history/literature,1,19,17,0.27,1.1,1.1,Music
Burbank Unified,2011,2322,Musical theater,1,29,1,0.2,29,29,Music
Burbank Unified,2011,2325,Instrumental music lessons (sec school std),2,89,3,0.57,29.7,29.7,Music
Burbank Unified,2011,2328,Instrumental ensemble,2,57,2,0.34,28.5,28.5,Music
Burbank Unified,2011,2370,AP Music theory,2,39,2,0.34,19.5,19.5,Music AP
Burbank Unified,2011,5702,Animation,1,70,2,0.4,35,35,"Arts, Media and Entertainment"
Burbank Unified,2011,5716,Video production,2,231,7,0.9,33,33,"Arts, Media and Entertainment"
Burbank Unified,2011,5721,Professional theater/play production,2,240,8,1.6,30,30,"Arts, Media and Entertainment"
Burbank Unified,2011,5752,Computer gaming and design,2,60,2,0.4,30,30,"Arts, Media and Entertainment"
Burbank Unified,2011,5760,Photographic laboratory and darkroom,2,250,8,1.6,31.2,31.2,"Arts, Media and Entertainment"
Burbank Unified,2011,5770,Broadcasting technology,1,30,1,0.2,30,30,"Arts, Media and Entertainment"
