AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
54,WV,West Virginia,27-3043,Writers and Authors,,160,17.2,0.224,0.70,16.81,"34,960",4.8,8.43,11.43,13.82,18.15,36.00,"17,540","23,770","28,750","37,750","74,880",,
55,WI,Wisconsin,27-3043,Writers and Authors,,660,10.2,0.250,0.78,24.73,"51,450",2.8,13.15,18.43,22.42,28.46,36.84,"27,360","38,320","46,640","59,210","76,630",,
56,WY,Wyoming,27-3043,Writers and Authors,,30,16.4,0.117,0.37,24.56,"51,080",3.7,15.21,17.44,26.17,30.66,33.91,"31,630","36,280","54,440","63,780","70,530",,
02,AK,Alaska,27-2031,Dancers,,70,42.0,0.239,2.72,14.12,*,5.0,12.17,12.79,13.83,14.84,17.09,*,*,*,*,*,,TRUE
04,AZ,Arizona,27-2031,Dancers,,100,32.4,0.041,0.46,17.34,*,9.5,8.53,14.30,17.98,21.39,23.55,*,*,*,*,*,,TRUE
06,CA,California,27-2031,Dancers,,"2,010",24.2,0.143,1.63,14.26,*,8.5,8.54,8.96,10.33,18.95,23.58,*,*,*,*,*,,TRUE
08,CO,Colorado,27-2031,Dancers,,**,**,**,**,15.86,*,11.8,7.99,8.89,14.66,21.35,23.50,*,*,*,*,*,,TRUE
09,CT,Connecticut,27-2031,Dancers,,60,37.0,0.039,0.44,16.46,*,4.2,9.66,11.87,14.70,18.24,29.79,*,*,*,*,*,,TRUE
11,DC,District of Columbia,27-2031,Dancers,,110,24.3,0.166,1.90,25.10,*,23.2,8.80,9.64,24.30,36.47,50.24,*,*,*,*,*,,TRUE
12,FL,Florida,27-2031,Dancers,,350,18.0,0.049,0.56,15.93,*,7.5,8.96,10.41,12.81,17.38,29.77,*,*,*,*,*,,TRUE
13,GA,Georgia,27-2031,Dancers,,40,19.9,0.010,0.11,17.97,*,16.5,8.16,9.24,16.99,25.87,28.27,*,*,*,*,*,,TRUE
15,HI,Hawaii,27-2031,Dancers,,750,18.7,1.305,14.90,16.84,*,11.2,7.83,8.44,9.49,22.24,34.81,*,*,*,*,*,,TRUE
17,IL,Illinois,27-2031,Dancers,,310,18.9,0.055,0.63,12.81,*,5.3,8.84,9.76,11.48,15.44,17.64,*,*,*,*,*,,TRUE
18,IN,Indiana,27-2031,Dancers,,300,46.6,0.109,1.24,8.63,*,4.5,7.66,8.01,8.58,9.16,9.52,*,*,*,*,*,,TRUE
